id_respondiente,area,regimen,d1_act_a,d1_act_b,d1_act_c,d1_act_d,d1_des_a,d1_des_b,d1_des_c,d1_des_d,d2_act_a,d2_act_b,d2_act_c,d2_act_d,d2_des_a,d2_des_b,d2_des_c,d2_des_d,d3_act_a,d3_act_b,d3_act_c,d3_act_d,d3_des_a,d3_des_b,d3_des_c,d3_des_d,d4_act_a,d4_act_b,d4_act_c,d4_act_d,d4_des_a,d4_des_b,d4_des_c,d4_des_d,d5_act_a,d5_act_b,d5_act_c,d5_act_d,d5_des_a,d5_des_b,d5_des_c,d5_des_d,d6_act_a,d6_act_b,d6_act_c,d6_act_d,d6_des_a,d6_des_b,d6_des_c,d6_des_d
R001,OGTIC,CAS,14,20,14,52,27,47,8,18,15,20,18,47,25,50,7,18,14,15,13,58,27,52,11,10,14,19,13,54,32,50,8,10,21,19,14,46,24,46,12,18,20,17,14,49,26,47,13,14
R002,OGTIC,D.L. 728,15,15,16,54,25,49,13,13,19,19,14,48,24,51,11,14,15,18,11,56,32,48,13,7,19,19,13,49,25,44,12,19,17,21,14,48,25,47,13,15,15,18,14,53,31,49,8,12
R003,OGTIC,D.L. 728,19,16,14,51,25,46,11,18,17,16,17,50,30,48,12,10,22,16,15,47,24,47,13,16,14,21,15,50,30,48,7,15,17,19,15,49,27,51,10,12,21,16,14,49,26,47,12,15
R004,OGTIC,D.L. 728,20,19,16,45,29,47,8,16,22,18,11,49,24,45,8,23,16,21,16,47,25,50,10,15,21,19,14,46,32,44,12,12,15,20,18,47,28,49,7,16,18,18,12,52,31,44,12,13
R005,OGTIC,D.L. 728,22,21,12,45,32,45,13,10,18,21,18,43,27,46,9,18,16,19,18,47,24,49,10,17,14,15,15,56,28,47,7,18,17,19,11,53,25,51,13,11,15,21,18,46,26,46,12,16
R006,OGTIC,Locador,22,16,14,48,32,50,8,10,22,21,13,44,28,50,12,10,19,18,18,45,31,45,8,16,17,15,15,53,24,52,8,16,17,15,11,57,24,47,7,22,14,21,15,50,25,52,8,15
R007,GGT,D.L. 728,18,8,39,35,24,31,24,21,18,13,37,32,25,25,23,27,17,9,37,37,28,31,29,12,11,12,32,45,22,30,28,20,16,13,32,39,25,27,24,24,19,10,33,38,28,26,25,21
R008,GGT,Locador,14,13,32,41,29,32,23,16,11,12,39,38,22,25,29,24,14,8,37,41,29,31,24,16,17,7,33,43,28,24,26,22,15,13,38,34,26,30,28,16,19,12,38,31,24,27,25,24
R009,GGT,D.L. 276 Nombrado,11,11,39,39,22,29,23,26,11,11,38,40,30,32,24,14,11,11,32,46,24,25,27,24,12,12,34,42,28,25,27,20,14,11,31,44,23,30,28,19,19,9,35,37,25,29,24,22
R010,GGT,D.L. 728,17,8,35,40,29,29,29,13,12,7,38,43,23,25,27,25,14,11,35,40,24,29,23,24,14,9,35,42,24,31,29,16,19,12,35,34,30,24,28,18,19,9,32,40,24,28,23,25
